# submitted_item	validated_id	current_symbol
CG4254	FBgn0011726	tsr
CG4393	FBgn0039075	CG4393
CG4547	FBgn0029907	Atx-1
CG4722	FBgn0000180	bib
CG4889	FBgn0284084	wg
CG4977	FBgn0015400	kek2
CG5022	FBgn0032225	CG5022
CG4926	FBgn0010407	Ror
CG4931	FBgn0038320	Cyfip
CG5166	FBgn0041188	Atx2
CG5336	FBgn0032409	Ced-12
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG5341	FBgn0266671	Sec6
CG32096	FBgn0041096	rols
CG5902	FBgn0039136	CG5902
CG33106	FBgn0043884	mask
CG6625	FBgn0250791	alphaSnap
CG6811	FBgn0036257	RhoGAP68F
CG7954	FBgn0020249	stck
CG8031	FBgn0038110	CG8031
CG8222	FBgn0032006	Pvr
CG30084	FBgn0265991	Zasp52
CG8390	FBgn0259978	vlc
CG8811	FBgn0033757	muskelin
CG8779	FBgn0262509	nrm
CG8978	FBgn0001961	Arpc1
CG9115	FBgn0025742	mtm
CG9121	FBgn0031675	CG9121
CG9351	FBgn0024555	flfl
CG9366	FBgn0014380	RhoL
CG9493	FBgn0031799	Pez
CG9494	FBgn0032074	Tsp29Fa
CG9496	FBgn0032075	Tsp29Fb
CG9426	FBgn0032485	CG9426
CG9446	FBgn0265935	coro
CG9553	FBgn0000308	chic
CG9750	FBgn0040075	rept
CG9881	FBgn0031437	Arpc5
CG33101	FBgn0266464	Nsf2
CG31999	FBgn0051999	CG31999
CG10261	FBgn0261854	aPKC
CG10263	FBgn0032812	Hakai
CG10915	FBgn0034308	Naus
CG31999	FBgn0051999	CG31999
CG11848	FBgn0039282	Bili
CG12051	FBgn0000043	Act42A
CG12497	FBgn0284408	trol
CG12489	FBgn0260866	dnr1
CG6741	FBgn0000008	a
CG32796	FBgn0040388	boi
CG32387	FBgn0265296	Dscam2
CG31665	FBgn0051665	wry
CG17309	FBgn0262081	Csk
CG18290	FBgn0000046	Act87E
CG33149	FBgn0259209	Mlp60A
CG2595	FBgn0045843	RacGAP84C
CG1075	FBgn0037397	CR1075
CG1119	FBgn0004913	Gnf1
CG1130	FBgn0004880	scrt
CG1109	FBgn0046222	Wdr33
CG1234	FBgn0037489	CG1234
CG1135	FBgn0263832	Rcd5
CG1404	FBgn0020255	Ran
CG1379	FBgn0083981	RunxA
CG1528	FBgn0028968	gammaCOP
CG32523	FBgn0052523	CG32523
CG1542	FBgn0039828	CG1542
CG1796	FBgn0030365	Tango4
CG1703	FBgn0030321	CG1703
CG1799	FBgn0003204	ras
CG1689	FBgn0002576	lz
CG1785	FBgn0030061	CG1785
CG1746	FBgn0039830	ATPsynC
CG1832	FBgn0032979	Clamp
CG11138	FBgn0030400	Pits
CG1749	FBgn0030305	Uba5
CG1864	FBgn0014859	Hr38
CG1698	FBgn0033443	CG1698
CG1913	FBgn0003884	alphaTub84B
CG1994	FBgn0027330	l(1)G0020
CG1921	FBgn0014388	sty
CG1924	FBgn0030377	CG1924
CG1973	FBgn0260990	yata
CG2096	FBgn0000711	flw
CG2246	FBgn0039790	CG2246
CG2252	FBgn0004656	fs(1)h
CG2221	FBgn0028331	l(1)G0289
CG2257	FBgn0029996	UbcE2H
CG2171	FBgn0086355	Tpi
CG2128	FBgn0025825	HDAC3
CG2520	FBgn0086372	lap
CG2655	FBgn0011276	HLH3B
CG2453	FBgn0030460	Coq5
CG2522	FBgn0010391	SrpRalpha
CG2714	FBgn0000376	crm
CG2714	FBgn0000520	dwg
CG2608	FBgn0032870	CG2608
CG2331	FBgn0286784	TER94
CG32688	FBgn0263220	Hk
CG2621	FBgn0003371	sgg
CG2674	FBgn0005278	Sam-S
CG2637	FBgn0262743	Fs(2)Ket
CG2675	FBgn0024994	Ugalt
CG2574	FBgn0030386	CG2574
CG32703	FBgn0052703	Erk7
CG2875	FBgn0029672	CG2875
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG32683	FBgn0052683	CG32683
CG2924	FBgn0023528	CG2924
CG3028	FBgn0016672	Ipp
CG3045	FBgn0034703	CG3045
CG3068	FBgn0000147	aurA
CG3121	FBgn0034957	Rsph4a
CG2999	FBgn0025726	unc-13
CG3149	FBgn0027564	CG3149
CG3038	FBgn0040373	CG3038
CG3181	FBgn0024920	Ts
CG3320	FBgn0285937	Rab1
CG3325	FBgn0003480	spn-B
CG3173	FBgn0034964	IntS1
CG3308	FBgn0038877	CG3308
CG3355	FBgn0031619	CG3355
CG3501	FBgn0034791	EMC8-9
CG3337	FBgn0038871	CG3337
CG32954	FBgn0000055	Adh
CG32954	FBgn0000056	Adhr
CG3416	FBgn0002787	Rpn8
CG3419	FBgn0266438	PIG-Z
CG3419	FBgn0266439	CG45069
CG30414	FBgn0050414	CG30414
CG3476	FBgn0031881	MME1
CG3353	FBgn0038869	Smyd5
CG3403	FBgn0259483	Mob4
CG3477	FBgn0004577	Pxd
CG3573	FBgn0023508	Ocrl
CG3644	FBgn0000181	bic
CG3523	FBgn0283427	FASN1
CG3542	FBgn0031492	Prp40
CG3612	FBgn0011211	blw
CG3690	FBgn0040350	CG3690
CG3634	FBgn0037026	CG3634
CG3638	FBgn0261444	CG3638
CG3704	FBgn0040346	CG3704
CG3763	FBgn0000640	Fbp2
CG3856	FBgn0024944	Oamb
CG3769	FBgn0032119	CG3769
CG3809	FBgn0037995	Adk1
CG3811	FBgn0032123	Oatp30B
CG3774	FBgn0029849	Efr
CG3775	FBgn0030425	Nep6
CG3796	FBgn0000022	ac
CG3719	FBgn0024986	CG3719
CG3948	FBgn0040512	zetaCOP
CG3991	FBgn0020370	TppII
CG4013	FBgn0265523	Smr
CG4036	FBgn0032149	CG4036
CG3938	FBgn0010382	CycE
CG3891	FBgn0035993	Nf-YA
CG3983	FBgn0038473	Ns1
CG3964	FBgn0031574	TTLL4B
CG4107	FBgn0020388	Gcn5
CG4070	FBgn0011837	Tis11
CG4136	FBgn0263511	Vsx1
CG4059	FBgn0001078	ftz-f1
CG4180	FBgn0001977	CIAPIN1
CG4166	FBgn0013717	not
CG4124	FBgn0053526	PNUTS
CG4210	FBgn0038302	CG4210
CG4212	FBgn0015791	Rab14
CG4264	FBgn0266599	Hsc70-4
CG4374	FBgn0039078	CG4374
CG4289	FBgn0037020	Pex14
CG4244	FBgn0003557	Su(dx)
CG4317	FBgn0026060	Mipp2
CG4320	FBgn0029840	raptor
CG4299	FBgn0014879	Set
CG4274	FBgn0001086	fzy
CG4347	FBgn0035978	UGP
CG1924	FBgn0030377	CG1924
CG1973	FBgn0260990	yata
CG2096	FBgn0000711	flw
CG2246	FBgn0039790	CG2246
CG2252	FBgn0004656	fs(1)h
CG2221	FBgn0028331	l(1)G0289
CG2257	FBgn0029996	UbcE2H
CG2171	FBgn0086355	Tpi
CG2128	FBgn0025825	HDAC3
CG2520	FBgn0086372	lap
CG2655	FBgn0011276	HLH3B
CG2453	FBgn0030460	Coq5
CG2522	FBgn0010391	SrpRalpha
CG2714	FBgn0000376	crm
CG2714	FBgn0000520	dwg
CG2608	FBgn0032870	CG2608
CG2331	FBgn0286784	TER94
CG32688	FBgn0263220	Hk
CG2621	FBgn0003371	sgg
CG2674	FBgn0005278	Sam-S
CG2637	FBgn0262743	Fs(2)Ket
CG2675	FBgn0024994	Ugalt
CG2574	FBgn0030386	CG2574
CG32703	FBgn0052703	Erk7
CG2875	FBgn0029672	CG2875
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG32683	FBgn0052683	CG32683
CG2924	FBgn0023528	CG2924
CG3028	FBgn0016672	Ipp
CG3045	FBgn0034703	CG3045
CG3068	FBgn0000147	aurA
CG3121	FBgn0034957	Rsph4a
CG2999	FBgn0025726	unc-13
CG3149	FBgn0027564	CG3149
CG3038	FBgn0040373	CG3038
CG3181	FBgn0024920	Ts
CG3320	FBgn0285937	Rab1
CG3325	FBgn0003480	spn-B
CG3173	FBgn0034964	IntS1
CG3308	FBgn0038877	CG3308
CG3355	FBgn0031619	CG3355
CG3501	FBgn0034791	EMC8-9
CG3337	FBgn0038871	CG3337
CG32954	FBgn0000055	Adh
CG32954	FBgn0000056	Adhr
CG3416	FBgn0002787	Rpn8
CG3419	FBgn0266438	PIG-Z
CG3419	FBgn0266439	CG45069
CG30414	FBgn0050414	CG30414
CG3476	FBgn0031881	MME1
CG3353	FBgn0038869	Smyd5
CG3403	FBgn0259483	Mob4
CG3477	FBgn0004577	Pxd
CG3573	FBgn0023508	Ocrl
CG3644	FBgn0000181	bic
CG3523	FBgn0283427	FASN1
CG3542	FBgn0031492	Prp40
CG3612	FBgn0011211	blw
CG3690	FBgn0040350	CG3690
CG3634	FBgn0037026	CG3634
CG3638	FBgn0261444	CG3638
CG3704	FBgn0040346	CG3704
CG3763	FBgn0000640	Fbp2
CG3856	FBgn0024944	Oamb
CG3769	FBgn0032119	CG3769
CG3809	FBgn0037995	Adk1
CG3811	FBgn0032123	Oatp30B
CG3774	FBgn0029849	Efr
CG3775	FBgn0030425	Nep6
CG3796	FBgn0000022	ac
CG3719	FBgn0024986	CG3719
CG3948	FBgn0040512	zetaCOP
CG3991	FBgn0020370	TppII
CG4013	FBgn0265523	Smr
CG4036	FBgn0032149	CG4036
CG3938	FBgn0010382	CycE
CG3891	FBgn0035993	Nf-YA
CG3983	FBgn0038473	Ns1
CG3964	FBgn0031574	TTLL4B
CG4107	FBgn0020388	Gcn5
CG4070	FBgn0011837	Tis11
CG4136	FBgn0263511	Vsx1
CG4059	FBgn0001078	ftz-f1
CG4180	FBgn0001977	CIAPIN1
CG4166	FBgn0013717	not
CG4124	FBgn0053526	PNUTS
CG4210	FBgn0038302	CG4210
CG4212	FBgn0015791	Rab14
CG4264	FBgn0266599	Hsc70-4
CG4374	FBgn0039078	CG4374
CG4289	FBgn0037020	Pex14
CG4244	FBgn0003557	Su(dx)
CG4317	FBgn0026060	Mipp2
CG4320	FBgn0029840	raptor
CG4299	FBgn0014879	Set
CG4274	FBgn0001086	fzy
CG4347	FBgn0035978	UGP
CG4328	FBgn0036274	CG4328
CG32103	FBgn0052103	SCaMC
CG4437	FBgn0035977	PGRP-LF
CG4545	FBgn0010414	SerT
CG32975	FBgn0028875	nAChRalpha5
CG4412	FBgn0016119	ATPsynCF6
CG4457	FBgn0015298	Srp19
CG4624	FBgn0039058	VhaAC39-2
CG4662	FBgn0038735	MICU3
CG4678	FBgn0030778	CG4678
CG4592	FBgn0032162	CG4592
CG4579	FBgn0021761	Nup154
CG4594	FBgn0032161	CG4594
CG4670	FBgn0033814	Qsox1
CG4615	FBgn0029935	CG4615
CG4674	FBgn0037856	Leash
CG4622	FBgn0035021	CG4622
CG4787	FBgn0085383	CG34354
CG4842	FBgn0036620	CG4842
CG4806	FBgn0260456	CG4806
CG4806	FBgn0261373	CG33228
CG4767	FBgn0028902	Tektin-A
CG4869	FBgn0003890	betaTub97EF
CG4770	FBgn0038751	CG4770
CG4778	FBgn0027600	obst-B
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG4738	FBgn0262647	Nup160
CG31092	FBgn0051092	LpR2
CG4957	FBgn0032205	CG4957
CG32921	FBgn0064119	CG33934
CG32921	FBgn0260466	Indy-2
CG4978	FBgn0020633	Mcm7
CG32778	FBgn0263772	CG43689
CG4821	FBgn0023479	teq
CG4933	FBgn0283681	Tcs3
CG5013	FBgn0038396	CG5013
CG4903	FBgn0034240	MESR4
CG4921	FBgn0016701	Rab4
CG5017	FBgn0267366	mil
CG5036	FBgn0028743	Dhit
CG32031	FBgn0000116	Argk1
CG31096	FBgn0039354	Lgr3
CG5198	FBgn0032250	holn1
CG5203	FBgn0027052	STUB1
CG5168	FBgn0032246	Wdfy2
CG5323	FBgn0034362	CG5323
CG5330	FBgn0015268	Nap1
CG5371	FBgn0011703	RnrL
CG5374	FBgn0003676	CCT1
CG5262	FBgn0036988	CG5262
CG5315	FBgn0038984	AdipoR
CG5363	FBgn0004106	Cdk1
CG5387	FBgn0027491	Cdk5alpha
CG5428	FBgn0034887	St1
CG5430	FBgn0011294	a5
CG5411	FBgn0266377	Pde8
CG5431	FBgn0265052	St3
CG5397	FBgn0031327	CG5397
CG5398	FBgn0034882	Eglp1
CG5522	FBgn0034158	CG5522
CG5610	FBgn0000036	nAChRalpha1
CG5590	FBgn0039537	Hsdl2
CG5575	FBgn0011236	ken
CG5659	FBgn0017418	ari-1
CG5682	FBgn0032480	Edem2
CG5625	FBgn0034708	Vps35
CG5650	FBgn0004103	Pp1-87B
CG5651	FBgn0086706	pix
CG5652	FBgn0260006	drd
CG5873	FBgn0038511	cysu
CG5737	FBgn0038851	dmrt93B
CG5757	FBgn0034299	CG5757
CG5844	FBgn0038049	Srlp
CG5786	FBgn0010770	ppan
CG5830	FBgn0036556	hzg
CG5955	FBgn0036997	CG5955
CG31064	FBgn0051064	CG31064
CG5940	FBgn0000404	CycA
CG6049	FBgn0037081	barc
CG6051	FBgn0039492	CG6051
CG6052	FBgn0036747	CG6052
CG5905	FBgn0029843	Nep1
CG6013	FBgn0038675	CG6013
CG6057	FBgn0040283	SMC1
CG5915	FBgn0015795	Rab7
CG6142	FBgn0039415	CG6142
CG6144	FBgn0032259	CG6144
CG6168	FBgn0036154	CG6168
CG6182	FBgn0039158	TBC1d7
CG6215	FBgn0015025	CkIIalpha-i1
CG6187	FBgn0032256	RluA-2
CG6083	FBgn0036183	CG6083
CG6113	FBgn0032264	Lip4
CG6223	FBgn0008635	betaCOP
CG6206	FBgn0027611	LManII
CG6364	FBgn0263398	Uck
CG4328	FBgn0036274	CG4328
CG32103	FBgn0052103	SCaMC
CG4437	FBgn0035977	PGRP-LF
CG4545	FBgn0010414	SerT
CG32975	FBgn0028875	nAChRalpha5
CG4412	FBgn0016119	ATPsynCF6
CG4457	FBgn0015298	Srp19
CG4624	FBgn0039058	VhaAC39-2
CG4662	FBgn0038735	MICU3
CG4678	FBgn0030778	CG4678
CG4592	FBgn0032162	CG4592
CG4579	FBgn0021761	Nup154
CG4594	FBgn0032161	CG4594
CG4670	FBgn0033814	Qsox1
CG4615	FBgn0029935	CG4615
CG4674	FBgn0037856	Leash
CG4622	FBgn0035021	CG4622
CG4787	FBgn0085383	CG34354
CG4842	FBgn0036620	CG4842
CG4806	FBgn0260456	CG4806
CG4806	FBgn0261373	CG33228
CG4767	FBgn0028902	Tektin-A
CG4869	FBgn0003890	betaTub97EF
CG4770	FBgn0038751	CG4770
CG4778	FBgn0027600	obst-B
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG4738	FBgn0262647	Nup160
CG31092	FBgn0051092	LpR2
CG4957	FBgn0032205	CG4957
CG32921	FBgn0064119	CG33934
CG32921	FBgn0260466	Indy-2
CG4978	FBgn0020633	Mcm7
CG32778	FBgn0263772	CG43689
CG4821	FBgn0023479	teq
CG4933	FBgn0283681	Tcs3
CG5013	FBgn0038396	CG5013
CG4903	FBgn0034240	MESR4
CG4921	FBgn0016701	Rab4
CG5017	FBgn0267366	mil
CG5036	FBgn0028743	Dhit
CG32031	FBgn0000116	Argk1
CG31096	FBgn0039354	Lgr3
CG5198	FBgn0032250	holn1
CG5203	FBgn0027052	STUB1
CG5168	FBgn0032246	Wdfy2
CG5323	FBgn0034362	CG5323
CG5330	FBgn0015268	Nap1
CG5371	FBgn0011703	RnrL
CG5374	FBgn0003676	CCT1
CG5262	FBgn0036988	CG5262
CG5315	FBgn0038984	AdipoR
CG5363	FBgn0004106	Cdk1
CG5387	FBgn0027491	Cdk5alpha
CG5428	FBgn0034887	St1
CG5430	FBgn0011294	a5
CG5411	FBgn0266377	Pde8
CG5431	FBgn0265052	St3
CG5397	FBgn0031327	CG5397
CG5398	FBgn0034882	Eglp1
CG5522	FBgn0034158	CG5522
CG5610	FBgn0000036	nAChRalpha1
CG5590	FBgn0039537	Hsdl2
CG5575	FBgn0011236	ken
CG5659	FBgn0017418	ari-1
CG5682	FBgn0032480	Edem2
CG5625	FBgn0034708	Vps35
CG5650	FBgn0004103	Pp1-87B
CG5651	FBgn0086706	pix
CG5652	FBgn0260006	drd
CG5873	FBgn0038511	cysu
CG5737	FBgn0038851	dmrt93B
CG5757	FBgn0034299	CG5757
CG5844	FBgn0038049	Srlp
CG5786	FBgn0010770	ppan
CG5830	FBgn0036556	hzg
CG5955	FBgn0036997	CG5955
CG31064	FBgn0051064	CG31064
CG5940	FBgn0000404	CycA
CG6049	FBgn0037081	barc
CG6051	FBgn0039492	CG6051
CG6052	FBgn0036747	CG6052
CG5905	FBgn0029843	Nep1
CG6013	FBgn0038675	CG6013
CG6057	FBgn0040283	SMC1
CG5915	FBgn0015795	Rab7
CG6142	FBgn0039415	CG6142
CG6144	FBgn0032259	CG6144
CG6168	FBgn0036154	CG6168
CG6182	FBgn0039158	TBC1d7
CG6215	FBgn0015025	CkIIalpha-i1
CG6187	FBgn0032256	RluA-2
CG6083	FBgn0036183	CG6083
CG6113	FBgn0032264	Lip4
CG6223	FBgn0008635	betaCOP
CG6206	FBgn0027611	LManII
CG6364	FBgn0263398	Uck
CG6232	FBgn0032252	loh
CG6501	FBgn0034243	Ns2
CG42610	FBgn0266084	Fhos
CG30280	FBgn0050280	CG30280
CG6664	FBgn0036685	CG6664
CG6678	FBgn0038917	CG6678
CG6696	FBgn0030947	CG6696
CG6589	FBgn0032368	spag4
CG6637	FBgn0260940	lsn
CG6798	FBgn0004118	nAChRbeta2
CG6854	FBgn0266441	CG45071
CG6854	FBgn0266452	CTPsyn
CG6815	FBgn0287225	bor
CG6990	FBgn0039019	HP1c
CG6939	FBgn0025802	Sbf
CG6993	FBgn0003513	ss
CG31158	FBgn0051158	Efa6
CG7033	FBgn0030086	CCT2
CG6958	FBgn0039004	Nup133
CG6978	FBgn0029727	CG6978
CG6944	FBgn0002525	Lam
CG6946	FBgn0259139	glo
CG7154	FBgn0031947	Brd7-9
CG7158	FBgn0037116	Als2
CG7134	FBgn0031952	cdc14
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG7262	FBgn0038274	Nup93-2
CG7288	FBgn0030969	Usp39
CG7322	FBgn0030968	CG7322
CG7368	FBgn0036179	CG7368
CG7349	FBgn0030975	SdhBL
CG7392	FBgn0044323	Cka
CG7398	FBgn0024921	Tnpo
CG7516	FBgn0261535	l(2)34Fd
CG7519	FBgn0037087	CG7519
CG33253	FBgn0030992	CG33253
CG7776	FBgn0000581	E(Pc)
CG7777	FBgn0033635	Prip
CG7830	FBgn0032015	Ostgamma
CG7814	FBgn0083969	CG34133
CG7838	FBgn0263855	BubR1
CG7769	FBgn0260962	pic
CG7789	FBgn0039698	CG7789
CG7809	FBgn0036919	Grasp65
CG7865	FBgn0033050	Pngl
CG7938	FBgn0003511	Sry-beta
CG7986	FBgn0035850	Atg18a
CG7900	FBgn0037548	CG7900
CG7987	FBgn0038244	CG7987
CG7988	FBgn0038582	CG7988
CG7888	FBgn0036116	CG7888
CG7975	FBgn0034658	Grx1t
CG7993	FBgn0038585	Non3
CG7890	FBgn0031005	Hs3st-B
CG7945	FBgn0036505	CG7945
CG7892	FBgn0011817	nmo
CG7961	FBgn0025725	alphaCOP
CG7963	FBgn0037584	CG7963
CG7933	FBgn0001280	janA
CG7949	FBgn0036107	galla-2
CG7966	FBgn0038115	CG7966
CG8177	FBgn0036043	Ae2
CG8104	FBgn0036059	nudE
CG8156	FBgn0013750	Arf51F
CG8178	FBgn0024319	Nach
CG8120	FBgn0037675	HP1e
CG8189	FBgn0019644	ATPsynB
CG8196	FBgn0033366	Ance-4
CG8258	FBgn0284436	CCT8
CG8243	FBgn0033349	CG8243
CG30431	FBgn0050431	CG30431
CG8309	FBgn0033902	eIF3m
CG8346	FBgn0002609	E(spl)m3-HLH
CG8231	FBgn0027329	CCT6
CG8351	FBgn0037632	CCT7
CG8233	FBgn0033897	Rcd1
CG8439	FBgn0010621	CCT5
CG8454	FBgn0285911	Vps16A
CG8422	FBgn0033932	Dh44-R1
CG8360	FBgn0032001	CG8360
CG8385	FBgn0010348	Arf79F
CG8460	FBgn0031996	CG8460
CG8507	FBgn0037756	CG8507
CG8519	FBgn0035711	CG8519
CG8522	FBgn0261283	SREBP
CG8380	FBgn0034136	DAT
CG32742	FBgn0028360	Cdc7
CG8546	FBgn0035785	ppk26
CG8641	FBgn0035733	CG8641
CG8642	FBgn0033312	CG8642
CG8536	FBgn0027538	beta4GalNAcTA
CG8542	FBgn0001220	Hsc70-5
CG8809	FBgn0287478	Camta
CG31628	FBgn0000053	Gart
CG8781	FBgn0033378	tsu
CG6232	FBgn0032252	loh
CG6501	FBgn0034243	Ns2
CG42610	FBgn0266084	Fhos
CG30280	FBgn0050280	CG30280
CG6664	FBgn0036685	CG6664
CG6678	FBgn0038917	CG6678
CG6696	FBgn0030947	CG6696
CG6589	FBgn0032368	spag4
CG6637	FBgn0260940	lsn
CG6798	FBgn0004118	nAChRbeta2
CG6854	FBgn0266441	CG45071
CG6854	FBgn0266452	CTPsyn
CG6815	FBgn0287225	bor
CG6990	FBgn0039019	HP1c
CG6939	FBgn0025802	Sbf
CG6993	FBgn0003513	ss
CG31158	FBgn0051158	Efa6
CG7033	FBgn0030086	CCT2
CG6958	FBgn0039004	Nup133
CG6978	FBgn0029727	CG6978
CG6944	FBgn0002525	Lam
CG6946	FBgn0259139	glo
CG7154	FBgn0031947	Brd7-9
CG7158	FBgn0037116	Als2
CG7134	FBgn0031952	cdc14
CG3722	FBgn0003391	shg
CG11579	FBgn0000117	arm
CG17947	FBgn0010215	alpha-Cat
CG7262	FBgn0038274	Nup93-2
CG7288	FBgn0030969	Usp39
CG7322	FBgn0030968	CG7322
CG7368	FBgn0036179	CG7368
CG7349	FBgn0030975	SdhBL
CG7392	FBgn0044323	Cka
CG7398	FBgn0024921	Tnpo
CG7516	FBgn0261535	l(2)34Fd
CG7519	FBgn0037087	CG7519
CG33253	FBgn0030992	CG33253
CG7776	FBgn0000581	E(Pc)
CG7777	FBgn0033635	Prip
CG7830	FBgn0032015	Ostgamma
CG7814	FBgn0083969	CG34133
CG7838	FBgn0263855	BubR1
CG7769	FBgn0260962	pic
CG7789	FBgn0039698	CG7789
CG7809	FBgn0036919	Grasp65
CG7865	FBgn0033050	Pngl
CG7938	FBgn0003511	Sry-beta
CG7986	FBgn0035850	Atg18a
CG7900	FBgn0037548	CG7900
CG7987	FBgn0038244	CG7987
CG7988	FBgn0038582	CG7988
CG7888	FBgn0036116	CG7888
CG7975	FBgn0034658	Grx1t
CG7993	FBgn0038585	Non3
CG7890	FBgn0031005	Hs3st-B
CG7945	FBgn0036505	CG7945
CG7892	FBgn0011817	nmo
CG7961	FBgn0025725	alphaCOP
CG7963	FBgn0037584	CG7963
CG7933	FBgn0001280	janA
CG7949	FBgn0036107	galla-2
CG7966	FBgn0038115	CG7966
CG8177	FBgn0036043	Ae2
CG8104	FBgn0036059	nudE
CG8156	FBgn0013750	Arf51F
CG8178	FBgn0024319	Nach
CG8120	FBgn0037675	HP1e
CG8189	FBgn0019644	ATPsynB
CG8196	FBgn0033366	Ance-4
CG8258	FBgn0284436	CCT8
CG8243	FBgn0033349	CG8243
CG30431	FBgn0050431	CG30431
CG8309	FBgn0033902	eIF3m
CG8346	FBgn0002609	E(spl)m3-HLH
CG8231	FBgn0027329	CCT6
CG8351	FBgn0037632	CCT7
CG8233	FBgn0033897	Rcd1
CG8439	FBgn0010621	CCT5
CG8454	FBgn0285911	Vps16A
CG8422	FBgn0033932	Dh44-R1
CG8360	FBgn0032001	CG8360
CG8385	FBgn0010348	Arf79F
CG8460	FBgn0031996	CG8460
CG8507	FBgn0037756	CG8507
