# submitted_item	validated_id	current_symbol
CG6208	FBgn0266721	gammaSnap2
CG6210	FBgn0036141	wls
CG6211	FBgn0261703	gce
CG6213	FBgn0283536	Vha13
CG6214	FBgn0032456	MRP
CG6215	FBgn0015025	CkIIalpha-i1
CG6217	FBgn0001321	knk
CG6218	FBgn0038321	CG6218
CG6220	FBgn0033865	CG6220
CG6223	FBgn0008635	betaCOP
CG6224	FBgn0040230	dbo
CG6225	FBgn0038072	CG6225
CG6226	FBgn0013269	Fkbp39
CG6227	FBgn0030631	Prp5
CG6230	FBgn0027582	CG6230
CG6231	FBgn0038720	CG6231
CG6232	FBgn0032252	loh
CG6233	FBgn0036136	Ufd1
CG6235	FBgn0004889	tws
CG6236	FBgn0038318	CG6236
CG6238	FBgn0029157	ssh
CG6246	FBgn0085424	nub
CG6247	FBgn0052549	Nt5b
CG6249	FBgn0032346	Csl4
CG6251	FBgn0034118	Nup62
CG6254	FBgn0037794	CG6254
CG6255	FBgn0038708	Scsalpha2
CG6256	FBgn0051721	Trim9
CG6258	FBgn0028700	RfC38
CG6261	FBgn0052071	CG32071
CG6261	FBgn0052072	Elo68alpha
CG6262	FBgn0034121	CG6262
CG6263	FBgn0051729	CG31729
CG6264	FBgn0040238	Best1
CG6265	FBgn0039478	Nep5
CG6268	FBgn0043884	mask
CG6269	FBgn0024184	unc-4
CG6271	FBgn0039476	CG6271
CG6275	FBgn0010197	Gyc32E
CG6275	FBgn0051867	CG31867
CG6277	FBgn0039475	CG6277
CG6279	FBgn0286979	CG46439
CG6279	FBgn0286980	Iyd
CG6281	FBgn0025879	Timp
CG6283	FBgn0039474	CG6283
CG6284	FBgn0037802	Sirt6
CG6285	FBgn0000567	Eip74EF
CG6287	FBgn0032350	CG6287
CG6291	FBgn0026150	ApepP
CG6292	FBgn0025455	CycT
CG6293	FBgn0037807	CG6293
CG6295	FBgn0039471	CG6295
CG6296	FBgn0039470	CG6296
CG6297	FBgn0020412	JIL-1
CG6298	FBgn0023197	Jon74E
CG6299	FBgn0030641	CG6299
CG6300	FBgn0038730	CG6300
CG6302	FBgn0010741	Pfdn2
CG6303	FBgn0266717	Bruce
CG6308	FBgn0030645	Alg14
CG6309	FBgn0051075	CG31075
CG6309	FBgn0051076	CG31076
CG6312	FBgn0020379	Rfx
CG6313	FBgn0043884	mask
CG6315	FBgn0000662	fl(2)d
CG6320	FBgn0287724	Ca-beta
CG6321	FBgn0036117	CG6321
CG6322	FBgn0036733	U4-U6-60K
CG6323	FBgn0039465	Tsp97E
CG6327	FBgn0263776	CG43693
CG6330	FBgn0039464	CG6330
CG6331	FBgn0019952	Orct
CG6335	FBgn0027087	HisRS
CG6337	FBgn0033873	CG6337
CG6338	FBgn0004510	Ets97D
CG6339	FBgn0034728	rad50
CG6342	FBgn0024957	Irp-1B
CG6343	FBgn0019957	ND-42
CG6345	FBgn0037816	CG6345
CG6347	FBgn0033874	CG6347
CG6348	FBgn0003267	ro
CG6349	FBgn0259113	PolA1
CG6352	FBgn0026058	OdsH
CG6353	FBgn0038893	Archease
CG6354	FBgn0004903	Rb97D
CG6355	FBgn0028741	fab1
CG6356	FBgn0039178	CG6356
CG6358	FBgn0004832	Xpac
CG6359	FBgn0038065	Snx3
CG6361	FBgn0030925	Hayan
CG6363	FBgn0027378	MRG15
CG6364	FBgn0263398	Uck
CG6367	FBgn0030926	psh
CG6369	FBgn0039260	Smg6
CG6370	FBgn0034277	OstDelta
CG6372	FBgn0035915	S-Lap1
CG6375	FBgn0266581	pit
CG6376	FBgn0011766	E2f1
CG6379	FBgn0029693	Cmtr1
CG6380	FBgn0032632	CG6380
CG6382	FBgn0020443	eRF3
CG6383	FBgn0259685	crb
CG6385	FBgn0034276	Sardh
CG6386	FBgn0027889	ball
CG6388	FBgn0032430	Trm1
CG6391	FBgn0036111	Aps
CG6392	FBgn0040232	cmet
CG6393	FBgn0265192	Snp
CG6394	FBgn0030930	Pgant7
CG6396	FBgn0051072	Lerp
CG6398	FBgn0030870	CG6398
CG6400	FBgn0011785	BRWD3
CG6401	FBgn0034270	PIG-A
CG6404	FBgn0027615	OXA1L
CG6406	FBgn0034269	Hyccin
CG6407	FBgn0010194	Wnt5
CG6412	FBgn0032646	mEFTs
CG6413	FBgn0039183	Dis3
CG6414	FBgn0029690	CG6414
CG6415	FBgn0032287	CG6415
CG6417	FBgn0032435	Oatp33Eb
CG6418	FBgn0036104	CG6418
CG6420	FBgn0039451	CG6420
CG6421	FBgn0025827	CG6421
CG6422	FBgn0039261	Ythdf
CG6424	FBgn0028494	CG6424
CG6428	FBgn0029689	CG6428
CG6431	FBgn0032289	CG6431
CG6432	FBgn0039184	CG6432
CG6433	FBgn0003187	qua
CG6437	FBgn0067102	GlcT
CG6438	FBgn0023179	amon
CG6439	FBgn0038922	Idh3b
CG6443	FBgn0032290	CG6443
CG6445	FBgn0036715	Cad74A
CG6446	FBgn0016059	Sema1b
CG6450	FBgn0029688	lva
CG6451	FBgn0283503	Neurl4
CG6453	FBgn0032643	GCS2beta
CG6454	FBgn0039187	CG6454
CG6455	FBgn0019960	Mitofilin
CG6457	FBgn0040060	yip7
CG6459	FBgn0034259	P32
CG6461	FBgn0030932	Ggt-1
CG6462	FBgn0035663	CG6462
CG6463	FBgn0047038	ND-13B
CG6463	FBgn0053493	CG33493
CG6464	FBgn0261648	salm
CG6465	FBgn0037818	CG6465
CG6467	FBgn0250815	Jon65Aiv
CG6468	FBgn0052226	Pex23
CG6472	FBgn0034166	CG6472
CG6474	FBgn0000617	Taf9
CG6475	FBgn0038886	Ugt49B2
CG6479	FBgn0036710	CG6479
CG6482	FBgn0051278	CG31278
CG6482	FBgn0051373	CG31373
CG6483	FBgn0035665	Jon65Aiii
CG6484	FBgn0034247	CG6484
CG6485	FBgn0036706	ND-24L
CG6486	FBgn0035922	Pex7
CG6488	FBgn0287204	Cog8
CG6490	FBgn0039431	plum
CG6492	FBgn0030872	Ucp4A
CG6493	FBgn0034246	Dcr-2
CG6494	FBgn0001168	h
CG6498	FBgn0267390	dop
CG6499	FBgn0038309	Amt
CG6500	FBgn0265598	Bx
CG6501	FBgn0034243	Ns2
CG6502	FBgn0000629	E(z)
CG6504	FBgn0041195	Pkd2
CG6508	FBgn0032303	CG6508
CG6509	FBgn0032363	Dlg5
CG6510	FBgn0010409	RpL18A
CG6511	FBgn0035923	CG6511
CG6512	FBgn0036702	Afg3l2
CG6514	FBgn0031692	TpnC25D
CG6515	FBgn0004841	TkR86C
CG6518	FBgn0004784	inaC
CG6521	FBgn0027363	Stam
CG6522	FBgn0034223	Tes
CG6525	FBgn0082831	pps
CG6529	FBgn0051272	CG31272
CG6529	FBgn0051390	MED7
CG6534	FBgn0002941	slou
CG6535	FBgn0045035	tefu
CG6537	FBgn0051852	Tap42
CG6537	FBgn0051855	CG31855
CG6538	FBgn0010421	TfIIFbeta
CG6539	FBgn0011802	Gem3
CG6540	FBgn0030943	Nup35
CG6542	FBgn0027506	EDTP
CG6543	FBgn0033879	Echs1
CG6545	FBgn0011278	lbe
CG6546	FBgn0025716	Bap55
CG6550	FBgn0034214	CG6550
CG6551	FBgn0001079	fu
CG6553	FBgn0033880	CG6553
CG6554	FBgn0037834	Art1
CG6556	FBgn0286070	cnk
CG6560	FBgn0038916	dnd
CG6562	FBgn0034691	Synj
CG6563	FBgn0038306	Art3
CG6565	FBgn0032513	CG6565
CG6567	FBgn0037842	CG6567
CG6570	FBgn0008651	lbl
CG6571	FBgn0265959	rdgC
CG6572	FBgn0051155	Polr2G
CG6572	FBgn0051344	CG31344
CG6574	FBgn0037846	CG6574
CG6576	FBgn0035924	CG6576
CG6578	FBgn0004959	phm
CG6580	FBgn0035666	Jon65Aii
CG6582	FBgn0286781	cass
CG6584	FBgn0267376	SelR
CG6585	FBgn0030949	Cyp308a1
CG6588	FBgn0285925	Fas1
CG6589	FBgn0032368	spag4
CG6590	FBgn0052055	CG32055
CG6590	FBgn0052056	scramb1
CG6592	FBgn0035669	CG6592
CG6593	FBgn0003134	Pp1alpha-96A
CG6597	FBgn0036967	SCCRO4
CG6598	FBgn0011768	Fdh
CG6599	FBgn0260487	CG42534
CG6600	FBgn0259164	CG42269
CG6601	FBgn0015797	Rab6
CG6603	FBgn0026418	Hsc70Cb
CG6604	FBgn0016660	H15
CG6605	FBgn0000183	BicD
CG6606	FBgn0027335	Rip11
CG6607	FBgn0039204	CG6607
CG6608	FBgn0037852	Tpc1
CG6613	FBgn0034694	Plekhm1
CG6617	FBgn0030944	Hou
CG6619	FBgn0035676	ssp6
CG6620	FBgn0024227	aurB
CG6621	FBgn0037855	CG6621
CG6622	FBgn0003091	Pkc53E
CG6623	FBgn0038303	SIDL
CG6625	FBgn0250791	alphaSnap
CG6626	FBgn0261872	scaf6
CG6627	FBgn0027453	Dnz1
CG6629	FBgn0037860	SdhCL
CG6630	FBgn0260486	Ziz
CG6632	FBgn0030945	Ing3
CG6634	FBgn0261963	mid
CG6637	FBgn0260940	lsn
CG6638	FBgn0035911	CG6638
CG6639	FBgn0032638	SPH93
CG6643	FBgn0266758	Esyt2
CG6644	FBgn0026315	Ugt35A1
CG6646	FBgn0033885	DJ-1alpha
CG6647	FBgn0004363	porin
CG6649	FBgn0026314	Ugt35B1
CG6650	FBgn0036402	CG6650
CG6652	FBgn0036687	CG6652
CG6654	FBgn0038301	CG6654
CG6656	FBgn0038912	CG6656
CG6657	FBgn0265174	PIG-V
CG6657	FBgn0265195	veg
CG6659	FBgn0030946	CG6659
CG6660	FBgn0039030	CG6660
CG6661	FBgn0036403	CG6661
CG6662	FBgn0035907	GstO1
CG6664	FBgn0036685	CG6664
CG6666	FBgn0037873	SdhC
CG6667	FBgn0260632	dl
CG6668	FBgn0039213	atl
CG6669	FBgn0017590	klg
CG6670	FBgn0051465	CG31465
CG6670	FBgn0053092	P5CDh2
CG6671	FBgn0262739	AGO1
CG6672	FBgn0037875	ZnT86D
CG6673	FBgn0035906	GstO2
CG6675	FBgn0032973	CG6675
CG6676	FBgn0050280	CG30280
CG6676	FBgn0050281	CG30281
CG6677	FBgn0000139	ash2
CG6678	FBgn0038917	CG6678
CG6680	FBgn0262057	Spn77Ba
CG6682	FBgn0264895	RapGAP1
CG6684	FBgn0086472	RpS25
CG6686	FBgn0032388	CG6686
CG6687	FBgn0038299	Spn88Eb
CG6689	FBgn0037877	CG6689
CG6690	FBgn0038918	Qsox3
CG6691	FBgn0032971	ttm3
CG6692	FBgn0013770	Cp1
CG6693	FBgn0037878	CG6693
CG6695	FBgn0039215	CG6695
CG6696	FBgn0030947	CG6696
CG6697	FBgn0027526	Ublcp1
CG6700	FBgn0032305	CG6700
CG6701	FBgn0033889	CG6701
CG6702	FBgn0004580	Cbp53E
CG6703	FBgn0013759	CASK
CG6704	FBgn0033887	St4
CG6706	FBgn0027575	GABA-B-R2
CG6708	FBgn0020626	Osbp
CG6711	FBgn0011836	Taf2
CG6712	FBgn0032408	CG6712
CG6713	FBgn0011676	Nos
CG6714	FBgn0285896	btl
CG6715	FBgn0026064	KP78a
CG6716	FBgn0003145	prd
CG6717	FBgn0083141	Spn28B
CG6718	FBgn0036053	iPLA2-VIA
CG6719	FBgn0264694	mgr
CG6720	FBgn0015320	Ubc2
CG6721	FBgn0004390	RasGAP1
CG6723	FBgn0037895	CG6723
CG6724	FBgn0032298	CG6724
CG6725	FBgn0040271	Sulf1
CG6726	FBgn0039049	CG6726
CG6728	FBgn0037896	ninaG
CG6729	FBgn0032296	CG6729
CG6730	FBgn0031925	Cyp4d21
CG6733	FBgn0039052	CG6733
CG6734	FBgn0032395	Wdr81
CG6735	FBgn0086690	Plp
CG6737	FBgn0032294	Vha16-5
CG6738	FBgn0039053	CG6738
CG6739	FBgn0031926	CG6739
CG6741	FBgn0000008	a
CG6742	FBgn0039056	CenB1A
CG6743	FBgn0027868	Nup107
CG6744	FBgn0037901	Exd2
CG6745	FBgn0035901	Pus7
CG6746	FBgn0032394	Hacd1
CG6747	FBgn0265042	Irk1
CG6749	FBgn0036040	CG6749
CG6750	FBgn0032292	EMC3
CG6751	FBgn0263510	nclb
CG6752	FBgn0038296	Kpc1
CG6753	FBgn0038070	CG6753
CG6754	FBgn0261530	nbs
CG6755	FBgn0039066	EloA
CG6756	FBgn0032397	Tom70
CG6757	FBgn0040475	SH3PX1
CG6758	FBgn0034704	Fbxo42
CG6759	FBgn0025781	Cdc16
CG6760	FBgn0013563	Pex1
CG6763	FBgn0039069	CG6763
CG6764	FBgn0037899	RpL24-like
CG6766	FBgn0032398	CG6766
CG6767	FBgn0036030	Prps
CG6769	FBgn0030878	CG6769
CG6776	FBgn0035904	GstO3
CG6778	FBgn0027088	GlyRS
CG6779	FBgn0002622	RpS3
CG6781	FBgn0086348	se
CG6782	FBgn0037912	sea
CG6788	FBgn0030880	CG6788
CG6789	FBgn0029745	Rpn13R
CG6790	FBgn0037915	CG6790
CG6792	FBgn0032401	Plzf
CG6793	FBgn0036242	CG6793
CG6794	FBgn0011274	Dif
CG6796	FBgn0034177	AsnRS-m
CG6798	FBgn0004118	nAChRbeta2
CG6800	FBgn0038902	CG6800
CG6802	FBgn0038076	Cyp313a4
CG6805	FBgn0034179	CG6805
CG6807	FBgn0267795	Frl
CG6808	FBgn0037921	Zaf1
CG6811	FBgn0036257	RhoGAP68F
CG6812	FBgn0036843	Sfxn2
CG6814	FBgn0020407	asun
CG6815	FBgn0287225	bor
CG6816	FBgn0010383	Cyp18a1
CG6818	FBgn0036846	MESR6
CG6822	FBgn0035909	ergic53
CG6824	FBgn0003028	ovo
CG6827	FBgn0013997	Nrx-IV
CG6831	FBgn0260442	rhea
CG6833	FBgn0036405	CG6833
CG6838	FBgn0037182	ArfGAP3
CG6841	FBgn0036828	Prp6
CG6842	FBgn0283469	Vps4
CG6843	FBgn0036827	CG6843
CG6844	FBgn0000039	nAChRalpha2
CG6846	FBgn0036825	RpL26
CG6847	FBgn0030884	CG6847
CG6850	FBgn0014075	Uggt
CG6851	FBgn0027786	Mtch
CG6854	FBgn0266441	CG45071
CG6854	FBgn0266452	CTPsyn
CG6857	FBgn0259198	CG42302
CG6857	FBgn0259231	CCKLR-17D1
CG6859	FBgn0036484	Pex3
CG6860	FBgn0032633	Lrch
CG6863	FBgn0004885	tok
CG6865	FBgn0036817	CG6865
CG6866	FBgn0032515	loqs
CG6867	FBgn0030887	CG6867
CG6868	FBgn0003719	tld
CG6869	FBgn0036485	FucTA
CG6870	FBgn0032652	CG6870
CG6871	FBgn0000261	Cat
CG6873	FBgn0030951	CG6873
CG6875	FBgn0000140	asp
CG6876	FBgn0036487	Prp31
CG6877	FBgn0036813	Atg3
CG6879	FBgn0259233	CG42331
CG6881	FBgn0030954	CCKLR-17D3
CG6883	FBgn0262139	trh
CG6884	FBgn0036811	MED11
CG6888	FBgn0036490	CG6888
CG6890	FBgn0029114	Tollo
CG6891	FBgn0030955	CG6891
CG6892	FBgn0039225	Ets96B
CG6893	FBgn0036807	CG6893
CG6894	FBgn0030954	CCKLR-17D3
CG6896	FBgn0036801	MYPT-75D
CG6898	FBgn0038412	Zip89B
CG6899	FBgn0004368	Ptp4E
CG6903	FBgn0029737	CG6903
CG6904	FBgn0266064	GlyS
CG6905	FBgn0265574	Cdc5
CG6906	FBgn0027843	CAH2
CG6907	FBgn0031711	CG6907
CG6910	FBgn0036262	CG6910
CG6911	FBgn0052772	CG32772
CG6915	FBgn0262719	CG43163
CG6917	FBgn0000592	Est-6
CG6919	FBgn0038980	Octbeta1R
CG6920	FBgn0002906	Blm
CG6921	FBgn0260942	bond
CG6922	FBgn0051648	CG31648
CG6922	FBgn0051915	CG31915
CG6922	FBgn0051989	Cap-D3
CG6923	FBgn0037944	CG6923
CG6927	FBgn0029733	CG6927
CG6928	FBgn0036240	CG6928
CG6930	FBgn0265276	l(3)neo38
CG6932	FBgn0028837	CSN6
CG6937	FBgn0038989	CG6937
CG6938	FBgn0036235	CG6938
CG6939	FBgn0025802	Sbf
CG6941	FBgn0051158	Efa6
CG6942	FBgn0051116	ClC-a
CG6943	FBgn0051159	mRRF2
CG6943	FBgn0051161	CG31161
CG6944	FBgn0002525	Lam
CG6946	FBgn0259139	glo
CG6948	FBgn0024814	Clc
CG6949	FBgn0263863	mRpL45
CG6950	FBgn0037955	Kyat
CG6951	FBgn0036959	CG6951
CG6952	FBgn0260971	CG42594
CG6953	FBgn0026721	fat-spondin
CG6954	FBgn0266418	wake
CG6957	FBgn0031717	Oscillin
CG6958	FBgn0039004	Nup133
CG6959	FBgn0037956	CG6959
CG6960	FBgn0261859	CG42788
CG6962	FBgn0037958	CG6962
CG6964	FBgn0010825	Gug
CG6966	FBgn0038286	CG6966
CG6967	FBgn0034187	Mov10
CG6969	FBgn0263986	cd
CG6971	FBgn0037962	Dnali1
CG6974	FBgn0038285	CG6974
CG6975	FBgn0005198	gig
CG6976	FBgn0040299	Myo28B1
CG6977	FBgn0037963	Cad87A
CG6978	FBgn0029727	CG6978
CG6980	FBgn0039228	CG6980
CG6983	FBgn0035896	CG6983
CG6984	FBgn0034191	CG6984
CG6987	FBgn0283477	SF2
CG6988	FBgn0286818	Pdi
CG6989	FBgn0038063	Octbeta2R
CG6990	FBgn0039019	HP1c
CG6992	FBgn0004620	GluRIIA
CG6993	FBgn0003513	ss
CG6994	FBgn0052343	Atac3
CG6994	FBgn0052344	CG32344
CG6995	FBgn0039229	Saf-B
CG6997	FBgn0052708	CG32708
CG6998	FBgn0011760	ctp
CG7002	FBgn0029167	Hml
CG7003	FBgn0036486	Msh6
CG7005	FBgn0013953	Esp
CG7006	FBgn0039233	CG7006
CG7008	FBgn0035121	Tudor-SN
CG7009	FBgn0038861	Trm7-34
CG7010	FBgn0028325	Pdha
CG7011	FBgn0036489	CG7011
CG7012	FBgn0039234	Nct
CG7013	FBgn0027095	Manf
CG7014	FBgn0038277	RpS5b
CG7015	FBgn0263352	Unr
CG7018	FBgn0005658	Ets65A
CG7020	FBgn0024806	DIP2
CG7022	FBgn0000541	E(bx)
CG7023	FBgn0039025	Usp12-46
CG7024	FBgn0029722	CG7024
CG7025	FBgn0031930	CG7025
CG7026	FBgn0262514	VhaPPA1-2
CG7028	FBgn0027587	Prp4k
CG7033	FBgn0030086	CCT2
CG7034	FBgn0266674	Sec15
CG7035	FBgn0022942	Cbp80
CG7036	FBgn0035106	rno
CG7037	FBgn0020224	Cbl
CG7041	FBgn0030082	HP1b
CG7045	FBgn0038978	tHMG1
CG7046	FBgn0038979	tHMG2
CG7047	FBgn0035103	Vdup1
CG7049	FBgn0035102	CG7049
CG7050	FBgn0038975	Nrx-1
CG7051	FBgn0263988	Dic61B
CG7052	FBgn0041182	Tep2
CG7053	FBgn0030960	Atg101
CG7054	FBgn0038972	CG7054
CG7055	FBgn0030093	Bap111
CG7056	FBgn0038852	HHEX
CG7057	FBgn0263351	AP-2mu
CG7059	FBgn0038957	CG7059
CG7060	FBgn0263219	Dscam4
CG7061	FBgn0027505	Rab3-GAP
CG7062	FBgn0015793	Rab19
CG7067	FBgn0024945	NitFhit
CG7068	FBgn0041181	Tep3
CG7069	FBgn0038952	CG7069
CG7070	FBgn0267385	PyK
CG7073	FBgn0038947	Sar1
CG7074	FBgn0031399	mio
CG7075	FBgn0267326	Ntl
CG7077	FBgn0038946	rdhB
CG7078	FBgn0250910	Octbeta3R
CG7081	FBgn0035876	Pex2
CG7083	FBgn0035877	CG7083
CG7084	FBgn0038938	CG7084
CG7085	FBgn0267378	sau
CG7086	FBgn0051163	SKIP
CG7090	FBgn0030073	CG10962
CG7091	FBgn0038099	CG7091
CG7092	FBgn0283476	Dhc16F
CG7094	FBgn0032650	CG7094
CG7095	FBgn0259927	CG42450
CG7097	FBgn0263395	hppy
CG7098	FBgn0030891	Ada3
CG7099	FBgn0032517	CG7099
CG7100	FBgn0015609	CadN
CG7101	FBgn0030963	CG7101
CG7103	FBgn0030964	Pvf1
CG7107	FBgn0004169	up
CG7108	FBgn0011762	Prim1
CG7109	FBgn0004177	mts
CG7111	FBgn0020618	Rack1
CG7112	FBgn0035879	GAPcenA
CG7113	FBgn0021765	scu
CG7115	FBgn0027515	CG7115
CG7116	FBgn0001253	ImpE1
CG7117	FBgn0286852	naz
CG7118	FBgn0035886	Jon66Ci
CG7120	FBgn0035888	CG7120
CG7121	FBgn0026760	Tehao
CG7122	FBgn0030893	RhoGAP16F
CG7123	FBgn0261800	LanB1
CG7125	FBgn0038603	PKD
CG7127	FBgn0266667	Exo70
CG7128	FBgn0022724	Taf8
CG7130	FBgn0037151	CG7130
CG7133	FBgn0037150	CG7133
CG7134	FBgn0031952	cdc14
CG7137	FBgn0034422	CG7137
CG7139	FBgn0027532	CG7139
CG7140	FBgn0037147	CG7140
CG7142	FBgn0038595	CG7142
CG7143	FBgn0037141	PolH
CG7145	FBgn0037138	P5CDh1
CG7146	FBgn0038593	Vps39
CG7147	FBgn0259984	kuz
CG7149	FBgn0031948	CG7149
CG7150	FBgn0263738	Ada2a
CG7150	FBgn0263757	Polr2D
CG7151	FBgn0037130	Syn1
CG7152	FBgn0037130	Syn1
CG7154	FBgn0031947	Brd7-9
CG7156	FBgn0038588	CG7156
CG7158	FBgn0037116	Als2
CG7161	FBgn0265102	Oseg1
CG7163	FBgn0035889	mkg-p
CG7166	FBgn0037107	CG7166
CG7169	FBgn0037105	S1P
CG7170	FBgn0035887	Jon66Cii
CG7171	FBgn0003961	Uro
CG7177	FBgn0037098	Wnk
CG7178	FBgn0283471	wupA
CG7180	FBgn0267486	Ptp36E
CG7182	FBgn0035878	CG7182
CG7184	FBgn0029152	Mkrn1
CG7185	FBgn0035872	Cpsf6
CG7186	FBgn0026371	SAK
CG7187	FBgn0011481	Ssdp
CG7190	FBgn0264561	Glg1
CG7192	FBgn0030894	Mvb12
CG7193	FBgn0264561	Glg1
CG7197	FBgn0035866	Arl5
CG7199	FBgn0015239	Hr78
CG7200	FBgn0032671	JMJD4
CG7204	FBgn0037085	Neu2
CG7207	FBgn0027569	cert
CG7210	FBgn0001301	kel
CG7211	FBgn0031941	ATPsynGL
CG7212	FBgn0261532	cdm
CG7215	FBgn0038571	CG7215
CG7217	FBgn0038570	Prx5
CG7218	FBgn0038569	CG7218
CG7219	FBgn0031973	Spn28Dc
CG7220	FBgn0033544	CG7220
CG7221	FBgn0031972	Wwox
CG7222	FBgn0033551	CG7222
CG7223	FBgn0010389	htl
CG7224	FBgn0031971	Sirup
CG7225	FBgn0004003	wbl
CG7227	FBgn0031970	CG7227
CG7228	FBgn0031969	pes
CG7229	FBgn0034423	tbrd-2
CG7231	FBgn0031968	CG7231
CG7233	FBgn0085450	Snoo
CG7234	FBgn0020429	GluRIIB
CG7235	FBgn0031728	Hsp60C
CG7236	FBgn0031730	CG7236
CG7238	FBgn0024191	sip1
CG7240	FBgn0260003	Dys
CG7241	FBgn0038095	Cyp304a1
CG7243	FBgn0260003	Dys
CG7245	FBgn0031414	eys
CG7246	FBgn0030081	CG7246
CG7249	FBgn0031726	Cyp6a16
CG7250	FBgn0036494	Toll-6
CG7252	FBgn0036226	CG7252
CG7254	FBgn0004507	GlyP
CG7255	FBgn0036493	CG7255
CG7257	FBgn0036224	Rpt4R
CG7259	FBgn0036491	Best4
CG7260	FBgn0011723	byn
CG7261	FBgn0027509	TBCD
CG7262	FBgn0038274	Nup93-2
CG7263	FBgn0031392	AIF
CG7265	FBgn0038272	Dph2
CG7268	FBgn0001099	gdl
CG7268	FBgn0028377	gdl-ORF39
CG7269	FBgn0014189	Hel25E
CG7274	FBgn0085451	htk
CG7275	FBgn0036500	CG7275
CG7276	FBgn0036499	CG7276
CG7277	FBgn0031713	Coq6
CG7279	FBgn0023496	Lip1
CG7280	FBgn0030966	shop
CG7281	FBgn0004597	CycC
CG7283	FBgn0036213	RpL10Ab
CG7285	FBgn0036790	AstC-R1
CG7288	FBgn0030969	Usp39
CG7289	FBgn0031379	CG7289
CG7292	FBgn0038269	Rrp6
CG7293	FBgn0004381	Klp68D
CG7297	FBgn0036529	Pgant8
CG7304	FBgn0036527	CG7304
CG7307	FBgn0085430	Dora
CG7308	FBgn0052087	CG32087
CG7308	FBgn0052088	sunn
CG7309	FBgn0032314	CG7309
CG7311	FBgn0028848	Gpo3
CG7312	FBgn0031375	erm
CG7314	FBgn0036199	Bmcp
CG7319	FBgn0261353	Ccdc56
CG7319	FBgn0261381	mtTFB1
CG7321	FBgn0053547	Rim
CG7322	FBgn0030968	CG7322
CG7323	FBgn0261556	CG42674
CG7324	FBgn0037074	Tbc1d8-9
CG7328	FBgn0036942	CG7328
CG7329	FBgn0032271	CG7329
CG7331	FBgn0261108	Atg13
CG7333	FBgn0038715	CG7333
CG7334	FBgn0036191	Sugb
CG7335	FBgn0036941	CG7335
CG7337	FBgn0031374	Wdr62
CG7338	FBgn0037073	Tsr1
CG7339	FBgn0036188	Polr3H
CG7339	FBgn0038546	CG7379
CG7342	FBgn0038716	CG7342
CG7343	FBgn0266756	btsz
CG7345	FBgn0036411	Sox21a
CG7346	FBgn0052091	CG32091
CG7349	FBgn0030975	SdhBL
CG7351	FBgn0036184	PCID2
CG7352	FBgn0037581	CG7352
CG7356	FBgn0031975	Tg
CG7357	FBgn0038551	Odj
CG7359	FBgn0260855	Sec22
CG7362	FBgn0038258	CG7362
CG7364	FBgn0028541	TM9SF4
CG7365	FBgn0036939	CG7365
CG7367	FBgn0031976	CG7367
CG7368	FBgn0036179	CG7368
CG7369	FBgn0037188	CG7369
CG7371	FBgn0031710	Vps52
CG7372	FBgn0036522	Phs
CG7373	FBgn0051935	Rab3GAP1
CG7375	FBgn0035853	UbcE2M
CG7376	FBgn0035689	CG7376
CG7378	FBgn0030976	CG7378
CG7379	FBgn0038546	CG7379
CG7380	FBgn0031977	baf
CG7381	FBgn0038098	CG7381
CG7382	FBgn0031708	CG7382
CG7383	FBgn0000560	eg
CG7385	FBgn0036937	Ir76b
CG7386	FBgn0035691	CG7386
CG7387	FBgn0035852	CG7387
CG7388	FBgn0052369	CG32369
CG7391	FBgn0023076	Clk
CG7392	FBgn0044323	Cka
CG7393	FBgn0024846	p38b
CG7395	FBgn0036934	sNPF-R
CG7397	FBgn0262562	CG43102
CG7398	FBgn0024921	Tnpo
CG7399	FBgn0001208	Hn
CG7402	FBgn0036768	CG7402
CG7404	FBgn0035849	ERR
CG7405	FBgn0022936	CycH
CG7408	FBgn0036765	CG7408
CG7409	FBgn0035817	CG7409
CG7413	FBgn0015799	Rbf
CG7414	FBgn0037135	CG7414
CG7415	FBgn0037580	DppIII
CG7420	FBgn0031344	CG7420
CG7422	FBgn0035815	Snmp2
CG7423	FBgn0030982	CG7423
CG7425	FBgn0011217	eff
CG7427	FBgn0036510	SCCRO
CG7430	FBgn0036762	CG7430
CG7431	FBgn0038542	TyrR
CG7432	FBgn0038727	CG7432
CG7433	FBgn0036927	Gabat
CG7434	FBgn0015288	RpL22
CG7435	FBgn0004908	Arl2
CG7436	FBgn0020392	Nmt
CG7437	FBgn0262737	mub
CG7438	FBgn0086347	Myo31DF
CG7439	FBgn0087035	AGO2
CG7440	FBgn0030984	tgy
CG7441	FBgn0036763	TrpRS-m
CG7442	FBgn0037140	SLC22A
CG7446	FBgn0001134	Grd
CG7447	FBgn0035539	slow
CG7448	FBgn0037143	CR7448
CG7449	FBgn0287864	hbs
CG7450	FBgn0004396	CrebA
CG7452	FBgn0035540	Syx17
CG7456	FBgn0032258	Cog4
CG7457	FBgn0035812	CG7457
CG7458	FBgn0037144	CG7458
CG7460	FBgn0036749	CG7460
CG7461	FBgn0034432	CG7461
CG7462	FBgn0261788	Ank2
CG7466	FBgn0031981	Megf8
CG7467	FBgn0261885	osa
CG7469	FBgn0028916	CG33090
